[2024-07-03 18:34:58,235: INFO: main: Custom log created!]
[2024-07-03 19:58:06,358: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-03 19:58:06,363: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-03 19:58:06,365: INFO: common: Created directory at: artifacts]
[2024-07-03 19:58:06,365: INFO: common: Created directory at: artifacts/data_ingestion]
[2024-07-03 19:58:06,366: INFO: 787829753: Downloading data from https://drive.google.com/file/d/1tMVSoSJua1xGXkMoqjEFBrICjt32zSKS/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-03 19:58:41,588: INFO: 787829753: Downloaded data from https://drive.google.com/file/d/1tMVSoSJua1xGXkMoqjEFBrICjt32zSKS/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-03 20:20:05,879: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-07-03 20:20:05,881: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-03 20:20:05,881: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-03 20:20:05,881: INFO: common: Created directory at: artifacts]
[2024-07-03 20:20:05,882: INFO: common: Created directory at: artifacts/data_ingestion]
[2024-07-03 20:20:05,882: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1tMVSoSJua1xGXkMoqjEFBrICjt32zSKS/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-03 20:20:34,337: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1tMVSoSJua1xGXkMoqjEFBrICjt32zSKS/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-03 20:20:41,044: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
